region,Site,Site Name,lat,lng
Panoche,plateau,PS1,36.69881,-120.80058
Panoche,plateau,PS2,36.69891,-120.80097
Panoche,plateau,PS3,36.69752,-120.7991
Panoche,plateau,PS4,36.69718,-120.79865
Panoche,plateau,PS5,36.695,-120.79438
Panoche,plateau,PS6,36.69508,-120.79518
Panoche,plateau,PS7,36.69552,-120.7959
Panoche,plateau,PS8,36.69557,-120.79633
Panoche,plateau,PS9,36.6957,-120.79689
Panoche,plateau,PS10,36.69597,-120.7967
