"","Shrub_ID","D1","D2","H","Volume","S.density grouping","Canopy","Skat.2013","Skat.2014","X","Y","RDM.2013","RDM.2014","Shrub.density","Dx","Burrows","Trails","newcolumn","lat","lng"
"383",383,2.6,1.8,1.05,2.57,6,2,0,0,696775.6,4063439,9.850552,6.99027,0.005666,NA,NA,NA,-120.797331139081,36.6962575551716,-120.797331139081
"384",384,3.76,2.32,1.12,5.12,6,8,0,0,696774.8,4063436,8.019993,6.682521,0.005219,5.883333,1,1,-120.797340859459,36.6962306961737,-120.797340859459
"385",385,2.1,1.64,1.08,1.95,6,0,0,0,696769.9,4063436,6.688666,6.373338,0.005322,NA,NA,NA,-120.79739567237,36.6962317106929,-120.79739567237
"386",386,4.05,4,1.34,11.37,6,8,0,0,696755.8,4063423,16.09553,6.349604,0.004331,NA,NA,NA,-120.797556741421,36.6961175231075,-120.797556741421
"387",387,6.1,5.9,1.88,35.43,6,6,0,0,696739,4063414,20.48881,4.801438,0.004657,NA,NA,NA,-120.79774698471,36.696039927071,-120.79774698471
"388",388,4.2,3.62,2.2,17.51,6,5,0,0,696730,4063407,22.01842,4.42209,0.004506,NA,NA,NA,-120.797849460602,36.6959787325939,-120.797849460602
"389",389,4.6,4.4,1.32,13.99,6,6,0,0,696733,4063420,19.17693,3.773045,0.00573,NA,NA,NA,-120.797812560097,36.6960952183931,-120.797812560097
"390",390,4.65,3.94,1.28,12.28,6,6,0,0,696727.2,4063427,6.407128,3.241765,0.006636,NA,NA,NA,-120.797875641271,36.6961594764979,-120.797875641271
"391",391,4.88,4.6,2.24,26.33,6,7,0,0,696720.6,4063414,8.515958,4.21296,0.006097,NA,NA,NA,-120.797952812345,36.696043735845,-120.797952812345
"392",392,3.2,2.85,1.6,7.64,6,5,0,0,696717.7,4063414,7.75252,4.090002,0.006249,NA,NA,NA,-120.797985252573,36.6960443361085,-120.797985252573
"393",393,4.68,3.72,1.64,14.95,6,5,0,0,696716.1,4063401,13.90129,5.565681,0.005183,NA,NA,NA,-120.798006492015,36.6959275604696,-120.798006492015
"394",394,4.27,3.39,1.62,12.28,6,6,0,0,696714.3,4063392,17.78108,6.519314,0.005232,NA,NA,NA,-120.798028940533,36.6958468590865,-120.798028940533
"395",395,3.42,3.38,1.39,8.41,3,5,0,0,696695.1,4063372,15.60642,5.446624,0.00207,NA,NA,NA,-120.798248856685,36.6956706685581,-120.798248856685
"396",396,4.4,4.12,1.59,15.09,3,8,0,0,696695.9,4063366,15.77949,5.781353,0.002505,NA,NA,NA,-120.798241449691,36.6956164536794,-120.798241449691
"397",397,4.42,4.17,1.52,14.67,3,2,0,0,696711.1,4063355,19.8185,4.926515,0.0033,NA,NA,NA,-120.798074246267,36.6955142173765,-120.798074246267
"398",398,5.47,4.4,1.92,24.2,3,7,0,0,696706.3,4063343,15.49473,4.509943,0.002351,NA,NA,NA,-120.798131024196,36.6954071122272,-120.798131024196
"399",399,3.88,2.94,1.4,8.36,3,5,0,0,696708.1,4063337,11.33933,4.221555,0.001661,NA,NA,NA,-120.798112431114,36.6953526903725,-120.798112431114
"400",400,4.67,3.6,1.89,16.64,6,5,0,0,696731.3,4063398,25.72744,4.910651,0.004452,NA,NA,NA,-120.797837231883,36.6958973895549,-120.797837231883
"401",401,8,6.28,1.73,45.51,6,5,0,0,696733.1,4063387,20.77031,5.616609,0.004618,NA,NA,NA,-120.797819924159,36.6957979265831,-120.797819924159
"402",402,4.99,4.77,1.88,23.43,3,9,0,0,696731.8,4063373,19.8185,4.489028,0.003836,NA,NA,NA,-120.797838064939,36.6956720806601,-120.797838064939
"403",403,3.72,3.63,1.77,12.51,3,9,0,0,696731.7,4063369,17.06716,3.842894,0.003775,NA,NA,NA,-120.797840211745,36.6956360684957,-120.797840211745
"404",404,1.89,1.42,0.93,1.31,3,5,0,0,696728.1,4063365,15.61158,3.566682,0.003081,NA,NA,NA,-120.79788151032,36.6956007808147,-120.79788151032
"405",405,3.67,3.2,1.38,8.49,3,5,0,0,696733.1,4063350,9.085361,2.857395,0.003306,NA,NA,NA,-120.797829434907,36.695464622592,-120.797829434907
"406",406,5.28,4.99,2.04,28.14,3,8,0,0,696726.5,4063343,8.998917,2.688232,0.002855,NA,NA,NA,-120.797905063087,36.6954029312368,-120.797905063087
"407",407,1.67,1.43,0.89,1.11,3,4,0,0,696744,4063360,8.994327,2.918985,0.00441,NA,NA,NA,-120.797704934727,36.6955524484088,-120.797704934727
"408",408,5.2,4.89,1.57,20.9,3,5,0,0,696756.5,4063382,10.73449,3.882096,0.003608,NA,NA,NA,-120.797559451363,36.6957480414195,-120.797559451363
"409",409,1.4,1.12,0.95,0.78,3,4,0,0,696760.6,4063377,7.44605,3.706276,0.003733,NA,NA,NA,-120.797514873203,36.6957021515407,-120.797514873203
"410",410,5.27,4.5,1.73,21.48,3,7,0,0,696763.6,4063378,6.642435,3.55084,0.003446,NA,NA,NA,-120.797481057417,36.6957105386644,-120.797481057417
"411",411,6.52,4.99,2.24,38.16,3,8,0,0,696766,4063395,7.41644,4.896422,0.002768,NA,NA,NA,-120.797449839889,36.6958631814147,-120.797449839889
"412",412,5.3,4.7,2.08,27.13,3,9,0,0,696763.6,4063338,6.704345,3.033386,0.003712,NA,NA,NA,-120.797491340849,36.6953502101013,-120.797491340849
"413",413,4.62,4.26,1.53,15.77,3,6,0,0,696773.5,4063337,6.365278,3.406037,0.003509,NA,NA,NA,-120.797380854753,36.6953391522496,-120.797380854753
"414",414,4.6,4.09,2.03,20,3,4,0,0,696770.2,4063328,5,3.329502,0.00319,NA,NA,NA,-120.797420082968,36.6952587615472,-120.797420082968
"415",415,5.1,3.9,1.6,16.66,3,4,1,0,696762,4063325,5.723673,2.909533,0.002649,NA,NA,NA,-120.797512580788,36.6952334345566,-120.797512580788
"416",416,2.54,1.93,0.87,2.23,3,0,0,0,696785.6,4063323,9.488318,4.296221,0.003226,NA,NA,NA,-120.797249101551,36.6952105320152,-120.797249101551
"417",417,1.24,1.17,0.97,0.74,6,3,0,0,696747.1,4063441,9.089864,4.173438,0.006027,5.51,1,3,-120.797649434868,36.6962814720515,-120.797649434868
"418",418,2.77,2.56,1.3,4.83,6,5,0,0,696751.3,4063442,11.47404,4.262046,0.005952,6.82,1,2,-120.797602195255,36.6962896107778,-120.797602195255
"419",419,3.49,3.37,1.56,9.61,6,2,0,0,696762.4,4063455,16.15259,5.166909,0.005171,8.7,4,4,-120.797474684897,36.6964044195235,-120.797474684897
"420",420,2.99,2.57,1.21,4.87,6,1,0,0,696754.5,4063463,22.75007,4.235331,0.004925,4.6,0,2,-120.797561000257,36.6964781207771,-120.797561000257
"421",421,1.27,1.26,0.86,0.72,6,3,0,0,696751.8,4063459,18.77951,3.568281,0.005013,3.25,1,2,-120.797592231719,36.6964426468951,-120.797592231719
"422",422,3.34,2.82,1.1,5.42,6,0,0,0,696748.9,4063459,11.97571,3.210854,0.004623,3.22,2,4,-120.797624672107,36.6964432472624,-120.797624672107
"423",423,3.31,2.99,1.19,6.17,6,3,0,0,696743.9,4063459,6.241949,2.441481,0.004192,6.55,3,4,-120.797680603814,36.6964442823577,-120.797680603814
"424",424,3.49,3.14,1.73,9.93,6,7,0,0,696740.7,4063445,3.841656,2.421608,0.006649,3.21,2,4,-120.797719999041,36.6963188298062,-120.797719999041
"425",425,7.64,4.44,1.57,27.89,6,10,0,0,696733.6,4063449,3.769222,2.251668,0.006346,NA,NA,NA,-120.797798393714,36.6963563324248,-120.797798393714
"426",426,3.37,2.98,1.4,7.36,6,4,0,0,696728.4,4063453,5.083668,2.003345,0.005849,7.9,3,2,-120.797855534428,36.6963934416964,-120.797855534428
"427",427,3.97,3.43,1.55,11.05,6,5,0,0,696723.9,4063460,8.417193,1.597531,0.005907,8.53,3,4,-120.797904073621,36.6964574306915,-120.797904073621
"428",428,3.9,2.97,1.07,6.49,6,5,0,0,696734.3,4063468,3.676173,2.289765,0.004817,6.58,2,4,-120.797785679161,36.6965273435971,-120.797785679161
"429",429,4.46,3.9,1.8,16.39,6,5,0,0,696728.2,4063471,6.379759,2.038551,0.005227,6.12,1,8,-120.797853144767,36.6965556309643,-120.797853144767
"430",430,1.98,1.95,0.94,1.9,6,4,0,0,696703.9,4063476,6.256335,1.864813,0.005927,7.89,2,3,-120.798123688217,36.6966057018544,-120.798123688217
"431",431,5.51,4.8,1.73,23.96,6,8,0,0,696701.1,4063477,7.507505,2.002729,0.005712,8.453333,3,5,-120.798154753031,36.6966152895984,-120.798154753031
