count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
144,0.006898,0.0332,0.0074252,0.0034563
145,0.007746,0.0352,0,0.0060485
146,0.031709,0.0668,0.0045001,0.0044644
147,0.04456,0.0244,0.00045,0.0228978
148,0.027642,0.0076,0.000225,0.0217457
149,0.005876,0.0452,0.0029251,0.0352828
150,0.011148,0.0196,0.0031501,0.0348508
151,0.004349,0.012,0.0382508,0.0518441
152,0.023369,0.006,0.0290256,0.0234739
153,0.040044,0.0056,0.0256505,0.012097
154,0.052881,0.0104,0.0819017,0.0087847
155,0.036641,0.0036,0.0697515,0.0169934
156,0.064541,0.022,0.0528761,0.0171374
157,0.069647,0.0092,0.0281256,0.0326906
158,0.037556,0.0176,0.0047251,0.0257781
159,0.031839,0.0132,0.0072001,0.0096488
160,0.023984,0.028,0.0092252,0.0207377
161,0.050926,0.0424,0.0069752,0.0201616
162,0.07528,0.0048,0.0058501,0.0678294
163,0.064154,0,0.0166504,0.0306744
164,0.031167,0.0008,0.0119253,0.0407553
165,0.014714,0.0008,0.0137253,0.0325466
166,0.00565,0.0008,0.0173254,0.0316825
167,0.004465,0.034,0.0276756,0.0439235
168,0.00551,0.0056,0.0274506,0.0260661
169,0.0066,0.0416,0.0274506,0.0538603
170,0.005349,0.06,0.0195754,0.0437795
171,0.006933,0.0656,0.0315007,0.0313945
172,0.047818,0.0448,0.0240755,0.0177134
173,0.052302,0.0632,0.0371258,0.0018721
174,0.02498,0.0172,0.0391508,0.0044644
175,0.023613,0.0504,0.0094502,0.0024482
176,0.0152,0.0648,0.0218255,0
177,0.004233,0.0684,0.0186754,0
178,0.012904,0.08,0.002025,0.0048964
179,0.021518,0.0408,0.00045,0.0149772
180,0.014519,0.0452,0.0009,0.0148332
181,0.046433,0.0324,0.0018,0.0103688
182,0.041066,0.0152,0.001125,0.0106569
183,0.05002,0.006,0.0078752,0.0290903
184,0.039513,0.0008,0.0027001,0.0492519
185,0.017584,0.002,0.0042751,0.049828
186,0.030447,0.0084,0.0049501,0.0360029
187,0.036945,0.0096,0.0105752,0.0169934
188,0.007913,0.0356,0.0270006,0.0195856
189,0.039073,0.0448,0.0909019,0.0192975
190,0.044131,0.0336,0.0436509,0.037587
191,0.030138,0.0056,0.0191254,0.038163
192,0.018663,0.0368,0.0101252,0.0485319
193,0.013764,0.028,0.0033751,0.012529
194,0.011906,0.0716,0.0058501,0.0213137
195,0.014001,0.0512,0.0315007,0.0203056
196,0.007027,0.0316,0.0054001,0.0269301
197,0.001424,0.0396,0.0207004,0.0427714
198,0.00538,0,0.0200254,0.0207377
199,0.012964,0,0.0105752,0.0354268
200,0.019776,0.0004,0.0263256,0.0443555
201,0.021784,0.0016,0.0236255,0.0361469
202,0.043844,0.014,0.0288006,0.0355708
203,0.029798,0,0.0668264,0.0352828
204,0.01723,0.0016,0.0317257,0.0509801
205,0.011915,0.0004,0.0204754,0.0436355
206,0.034749,0.0144,0.0537761,0.0300984
207,0.012452,0.0588,0.0267756,0.0012961
208,0.00498,0.05,0.0317257,0.0139691
209,0.009523,0.0328,0.0499511,0.013105
210,0.042421,0.0788,0.0380258,0.0072006
211,0.015313,0.0348,0.0414009,0.0041763
212,0.03928,0.0892,0.045451,0.0067685
213,0.019993,0.0608,0.0405009,0.0139691
214,0.003943,0.114,0.0139503,0.0040323
215,0.029057,0.0704,0.0150753,0
216,0.056928,0.0068,0.0009,0.0053284
217,0.010781,0.0088,0.000225,0.0046084
218,0.003469,0.0156,0.00225,0.0028802
219,0.00188,0,0.0033751,0.0069125
220,0.03254,0.0048,0.0085502,0.0210257
221,0.022172,0.0068,0.0031501,0.0551564
222,0.026665,0.0044,0.0218255,0.049684
223,0.013039,0.0016,0.0292506,0.0457957
224,0.005907,0.0136,0.0220505,0.0394592
225,0.007278,0.0192,0.0276756,0.0259221
226,0.015159,0.0524,0.0389258,0.0070566
227,0.028014,0.0228,0.0526511,0.0321146
228,0.011834,0.0096,0.0200254,0.0341307
229,0.002924,0.0192,0.0240755,0.012097
230,0.057421,0.02,0.0130503,0.0191535
231,0.050718,0.0396,0.0119253,0.0105128
232,0.031065,0.0332,0.0119253,0.0213137
233,0.042043,0.0328,0.0108002,0.0334107
234,0.044292,0.0116,0.0315007,0.0036003
235,0.022471,0.0296,0.0407259,0.0286583
236,0.008436,0.0164,0.0200254,0.0444996
237,0.016606,0.014,0.0092252,0.050692
238,0.008276,0.0008,0.0117002,0.075318
239,0.001638,0.0044,0.0186754,0.0288023
240,0.003639,0,0.0542262,0.0285143
241,0.020585,0.0024,0.0513011,0.0388831
242,0.021374,0.0004,0.0276756,0.0136811
243,0.042117,0.0004,0.0380258,0.0185775
244,0.010984,0.0024,0.0337507,0.0038883
245,0.009482,0.0032,0.0330757,0.0066245
246,0.009968,0.0116,0.0369008,0.0476678
247,0.026559,0.0336,0.0402759,0.0324026
248,0.009976,0.048,0.0283506,0.0102248
249,0.013957,0.006,0.0382508,0.0090727
250,0.028499,0.0444,0.0495011,0.0109449
251,0.026694,0.094,0.045676,0.0290903
252,0.029189,0.0796,0.0348757,0.0108009
253,0.025874,0.0604,0.0216005,0.0090727
254,0.006481,0.0808,0,0.0136811
255,0.018068,0.0252,0.0045001,0.0073446
256,0.010757,0.0136,0.001575,0.0027362
257,0.005774,0.0036,0.0027001,0
258,0.009412,0.004,0,0.0027362
259,0.007151,0.0116,0,0.0027362
260,0.010327,0.0108,0.000225,0.0133931
261,0.015733,0.006,0.0119253,0.0260661
262,0.016913,0.0088,0.0150753,0.025634
263,0.031174,0.0144,0.0202504,0.0276502
264,0.056987,0.0104,0.0081002,0.0455076
265,0.033927,0.0124,0.0094502,0.0535723
266,0.049467,0.002,0.0360008,0.0262101
267,0.056961,0.0208,0.0411759,0.0218897
268,0.032914,0.0216,0.0654764,0.0030242
269,0.01357,0.0328,0.0526511,0.0352828
270,0.003151,0.0136,0.0371258,0.0159853
271,0.001809,0.0608,0.0180004,0.0067685
272,0.000755,0.0204,0.0211504,0.0043203
273,0.000064,0.0124,0.0090002,0.0315385
274,0.00812,0.0216,0.0267756,0.0568845
275,0.008802,0.0388,0.0396008,0.012385
276,0.037283,0.024,0.0373508,0.0073446
277,0.009799,0.0368,0.0396008,0.0322586
278,0.005162,0.0136,0.0418509,0.0197296
279,0.001178,0.0148,0.0182254,0.02477
280,0.003612,0.014,0.0216005,0.050692
281,0.002667,0.0072,0.0231755,0.0224658
282,0.02884,0.0088,0.0303756,0.0296664
283,0.016064,0.0016,0.0213755,0.0093608
284,0.007126,0,0.0328507,0.0181454
285,0.000782,0.0024,0.0267756,0.0014401
286,0.003421,0.0056,0.0236255,0.0038883
287,0.039776,0.0004,0.0508511,0.0105128
288,0.017845,0.0044,0.0389258,0.0403232
289,0.003088,0.002,0.0290256,0.0237619
290,0.00438,0.0008,0.048376,0.0263541
291,0.003047,0.0008,0.0294756,0.0332667
292,0.00228,0.0176,0.0560262,0.0083527
293,0.005033,0.0112,0.0510761,0.0224658
294,0.009938,0.018,0.047926,0.0276502
295,0.00466,0.0272,0.0355508,0.037011
296,0.013644,0.0592,0.0040501,0.0633651
297,0.014235,0.0908,0.0065251,0.063221
298,0.007255,0.0704,0.0227255,0.0725818
299,0.016864,0.0144,0.0072001,0.0819425
300,0.008913,0.0312,0.0105752,0.0216017
301,0.017996,0.0012,0.0038251,0.0763261
302,0.019044,0.006,0.0018,0.0017281
303,0.037805,0.006,0.0072001,0.0014401
304,0.015826,0.01,0.0103502,0.0139691
305,0.000899,0.0044,0,0.0046084
306,0.000182,0.0004,0.0054001,0.0177134
307,0.000064,0.0092,0.0065251,0.0159853
308,0.002923,0.0192,0.0126003,0.0329786
309,0.004606,0.0088,0.0094502,0.0423394
310,0.001098,0.0152,0.0096752,0.037155
311,0.01076,0.0176,0.0078752,0.0699896
312,0.0049,0.02,0.0425259,0.0296664
313,0.00163,0.0216,0.046576,0.0142571
314,0.014999,0.0136,0.0715515,0.0185775
315,0.019726,0.0316,0.0434259,0.0393151
316,0.01899,0.048,0.0267756,0.0204496
317,0.013819,0.0156,0.0283506,0.0155532
318,0.002655,0.0124,0.0301506,0.0142571
319,0.0018,0.0528,0.0105752,0.0266421
320,0.000245,0.0392,0.0319507,0.0288023
321,0,0.012,0.0274506,0.0154092
322,0.008903,0.0336,0.0213755,0.0260661
323,0.027093,0.0768,0.0362258,0.0684055
324,0.02805,0.0216,0.0096752,0.0571726
325,0.014176,0.0284,0.0193504,0.025346
326,0.006312,0.0348,0.0083252,0.0231859
