Site,Site Name,lat,lng
Panoche Plateau,PS1,36.69881,-120.80058
Panoche Plateau,PS2,36.69891,-120.80097
Panoche Plateau,PS3,36.69752,-120.7991
Panoche Plateau,PS4,36.69718,-120.79865
Panoche Plateau,PS5,36.695,-120.79438
Panoche Plateau,PS6,36.69508,-120.79518
Panoche Plateau,PS7,36.69552,-120.7959
Panoche Plateau,PS8,36.69557,-120.79633
Panoche Plateau,PS9,36.6957,-120.79689
Panoche Plateau,PS10,36.69597,-120.7967
